Address,Rank,Size,Symbol,Tag
0x001061BC,U,000044,_ZNK2al10FileLoader14isExistArchiveERKN4sead14SafeStringBaseIcEEPNS1_10FileDeviceE,
0x001061E8,U,000076,_ZNK2nn3fnd8DateTime6GetDayEv,
0x00106244,U,000084,_ZNK2nn3fnd8DateTime7GetHourEv,
0x001062AC,U,000076,_ZNK2nn3fnd8DateTime7GetYearEv,
0x00106308,U,000076,_ZNK2nn3fnd8DateTime8GetMonthEv,
0x00106364,U,000092,_ZNK2nn3fnd8DateTime9GetMinuteEv,
0x001063D4,U,000092,_ZNK2nn3fnd8DateTime9GetSecondEv,
0x00106444,U,000152,_fb_initializeFBManager,gdef
0x001064E4,U,001592,_shm_initializeShaderManager,gdef
0x00106B74,U,001088,_sta_initializeState,gdef
0x00106FB4,U,000420,_tx_initializeTexManager,gdef
0x00107168,U,000100,_vb_initializeVBManager,gdef
0x001071D8,U,000060,_vldtr_initializeStateValidator,gdef
0x00107218,U,000060,sys_P3DCallback,gdef
0x00107258,U,000064,sys_PDC0Callback,gdef
0x0010729C,U,000064,sys_PDC1Callback,gdef
0x001072E4,U,000004,sys_PPFCallback,gdef
0x001072E8,U,000004,sys_PSC0Callback,gdef
0x001072EC,U,000004,sys_PSC1Callback,gdef
0x001072F0,U,000196,,
0x001073B8,U,000076,_ZN2nn2os6Thread11ThreadStartEj,
0x00107404,O,000024,_ZN2nn3svc17GetThreadPriorityEPiNS_6HandleE,
0x0010741C,U,000028,__ARM_exceptions_buffer_init,gdef
0x00107438,U,000044,__ARM_exceptions_buffer_allocate,gdef
0x00107464,U,000036,__ARM_exceptions_buffer_free,gdef
0x00107488,U,000004,__default_terminate_handler,gdef
0x0010748C,U,000108,__cxa_get_globals,gdef
0x00107504,U,000092,_ZN2al17getLanguageStringEv,
0x0010756C,U,000048,_ZN2nn2fs3ipc10FileSystem10InitializeEv,
0x001075A0,U,000096,_ZN2nn2os10LockPolicy6ObjectINS0_15CriticalSectionEE10ScopedLockC2ERKNS4_10LockObjectE,
0x00107604,U,000096,_ZN2nn2os18ThreadLocalStorageC2Ev,
0x0010766C,U,000040,_ZN2nn2os6detail27ConvertSvcToLibraryPriorityEi,
0x0010769C,U,000152,_ZN2nn3dsp3CTR6WakeUpEv,
0x00107740,U,000056,_ZN2nn3err3CTR8FatalErr5ThrowERKNS1_12FatalErrInfoE,
0x00107778,U,000064,_ZN2nn3fnd8HeapBase12FillMemory32Ejjj,
0x001077B8,U,000600,_ZN2nn3ptm3CTR6detail18GetSwcMilliSecondsEv,
0x00107A24,U,000004,nngxlowInitialize,
0x00107A28,U,000144,_ZN2nn5gxlow3CTR10InitializeEv,
0x00107ACC,U,000004,nngxlowYieldThread,
0x00107AD0,U,000008,_ZN2nn5gxlow3CTR11YieldThreadEv,
0x00107ADC,U,000004,nngxlowWriteHWRegsWithMask,
0x00107AE0,U,000048,_ZN2nn5gxlow3CTR19WriteHWRegsWithMaskEjPKvS3_j,
0x00107B10,U,000004,nngxlowIsFirstInitialization,
0x00107B14,U,000012,_ZN2nn5gxlow3CTR21IsFirstInitializationEv,
0x00107B24,U,000004,nngxlowRegisterInterruptHandler,
0x00107B28,U,000220,_ZN2nn5gxlow3CTR24RegisterInterruptHandlerEPFvvE16nngxlowInterrupt,
0x00107C0C,U,000004,nngxlowGetNumSpeculativeRequests,
0x00107C10,U,000012,_ZN2nn5gxlow3CTR25GetNumSpeculativeRequestsEv,
0x00107C20,U,000040,_ZN2nn5gxlow3CTR3Gpu12ReleaseRightEv,
0x00107C48,U,000040,_ZN2nn5gxlow3CTR3Gpu18RestoreVramSysAreaEv,
0x00107C70,U,000144,_ZN2nn6applet3CTR6detail20FinalizeClientThreadEv,
0x00107D08,U,000072,_ZN2nn6applet3CTR6detail39ReplySleepNotificationCompleteToManagerEv,
0x00107D58,U,000116,_ZN2nn6applet3CTR6detail6APPLET13GetAppletInfoEjPyPNS_2fs9MediaTypeEPbS8_Pj,
0x00107DD4,U,000080,_ZN2nn6applet3CTR6detail6APPLET13SendParameterEjjjPKhjNS_6HandleE,
0x00107E2C,U,000088,_ZN2nn6applet3CTR6detail6APPLET15CancelParameterEbjbjPb,
