Start,     Pool,      End,       Section,   Rank,Type,Symbol
0x002E22A8,          ,0x002E22C0,          ,U,f,
0x002E22C0,          ,0x002E22CC,          ,U,f,
0x002E22CC,0x002E23A8,0x002E23B8,          ,U,f,
0x002E23B8,0x002E2474,0x002E2484,          ,U,f,
0x002E2484,          ,0x002E2488,          ,U,f,
0x002E2488,0x002E24C0,0x002E24CC,          ,U,f,
0x002E24CC,          ,0x002E24E0,          ,U,f,
0x002E24E0,          ,0x002E2674,          ,U,f,
0x002E2674,          ,0x002E2720,          ,U,f,
0x002E2720,0x002E278C,0x002E2790,          ,U,f,
0x002E2790,          ,0x002E27E8,          ,U,f,
0x002E27E8,0x002E28E0,0x002E28E8,          ,U,f,
0x002E28E8,0x002E2A58,0x002E2A64,          ,U,f,
0x002E2A64,0x002E2AD4,0x002E2ADC,          ,U,f,
0x002E2ADC,0x002E2C68,0x002E2C6C,          ,U,f,
0x002E2C6C,          ,0x002E2CA8,          ,U,f,
0x002E2CA8,0x002E2D40,0x002E2D54,          ,U,f,
0x002E2D54,0x002E2E6C,0x002E2E74,          ,U,f,
0x002E2E74,          ,0x002E2EEC,          ,U,f,
0x002E2EEC,          ,0x002E2F34,          ,U,f,
0x002E2F34,          ,0x002E2FB8,          ,U,f,
0x002E2FB8,          ,0x002E2FC8,          ,U,f,
0x002E2FC8,          ,0x002E2FCC,          ,U,f,
0x002E2FCC,          ,0x002E2FD4,          ,U,f,
0x002E2FD4,          ,0x002E2FDC,          ,U,f,
0x002E2FDC,          ,0x002E2FE8,          ,U,f,
0x002E2FE8,          ,0x002E3144,          ,U,f,
0x002E3144,0x002E3544,0x002E3648,          ,U,f,_ZN4sead23DualScreenMethodTreeMgrC1Ev
0x002E3648,          ,0x002E364C,          ,U,f,
0x002E364C,          ,0x002E3734,          ,U,f,
0x002E3734,0x002E3894,0x002E38A0,          ,U,f,
0x002E38A0,          ,0x002E38B4,          ,U,f,
0x002E38B4,0x002E38F4,0x002E38F8,          ,U,f,
0x002E38F8,          ,0x002E3900,          ,U,f,
